COMMON NAME,Inventory Number,Featured Images,Scientific name ,Nomenclature adopted by Austrian scientists,Collection date,MAIN PLACES,Collection place,Dimension,Indice IUCN,Links, Subject ,Class,Owner,References,State of preservation,spline-code,COORDINATES DD,COORDINATES DMS,Description,Notes,latitude,longitude
Cape dune mole-rat/Topo talpa delle dune del Capo,M1159,https://globalsearoutes.net/wp-content/uploads/2024/05/M-1159a.jpg," Bathyergus suillus  (Schreber, 1782)",Bathyergus suillus  (Schreb.),2-26 October 1857,CAPE COLONY,"Cape of Good Hope, South Africa",32x12x9 cm,lower risk,https://www.gbif.org/species/2437222,Zoology,Mammal,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, J. Zelebor, ""Säugethiere"", p. 29

J. C. D Schreber, Die Säugthiere in Abbildungen nach der Natur mit Beschreibungen,Expedition d. Schreber'schen Säugethier- u. Esper'schen Schmetterlingswerkes, Leipzig, 1782, vol. 4, p. 715",good ,,"-33.964167, 18.439750","33°57'51.0""S 18°26'23.1""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, J. Zelebor, ""Säugethiere"": ""Mus sulillus Schreber, mammal. IV. S pp. 715 and 932. n. 244. Plate 204. Bathyergus suillus Schreber Wagner, Schreb. mammal. III. P. 394. Fitz., Ausb. A. A. OP 394.
Black eyes. Total body length without tail measured on a curved line 16""; shoulder width 4""; Abdominal circumference 10"". Several specimens of this large species were caught on the moorland near Constantia in October 1857. The sand digger is known to the Kaffirs as ""Umka"".
Location: Cape of Good Hope. Two older specimens and one young, then two older males and one older female"" (p. 29).",,-33.964167,18.43975
Cape grysbok/Antilope del Capo,M811,https://globalsearoutes.net/wp-content/uploads/2024/07/M-0811a.jpg,"Raphicerus melanotis (Thunberg, 1811)",Antilope melanotis Forst,2-26 October 1857,CAPE COLONY,"Cape of Good Hope, South Africa",75x27x16 cm ,lower risk,https://www.iucnredlist.org/species/19306/50193334,Zoology,Mammal,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, J. Zelebor, ""Säugetiere"", p. 35

Thunberg Carl Peter, Mémoires de l'Académie impériale des sciences de St. Pétersbourg, St. Pétersbourg, De l'imprimereie de l'Académie impériale des sciences, 1809-1810, p. 312",good ,,"-33.964167, 18.439750","33°57'51.0""S 18°26'23.1""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, J. Zelebor, ""Säugetiere"":

""An old male of this delicate and distinct species had brown irises. Total body length 2‘ 10’. Height at withers 18 ½’, at the cross 19. The old male is not uncommon on the Constantia moors and is hunted and killed almost daily by Dutchmen with well-trained horses. Many are also caught in traps.
Location: Cape of Good Hope. An old male, an old female and a young animal"" (p. 35)",,-33.964167,18.43975
Cape Petrel/Procellaria del Capo,A1900,https://globalsearoutes.net/wp-content/uploads/2024/04/A-01900.jpg,"Daption capense capensis  (Linnaeus, C 1758)",Procellaria capensis  Linné,September 1857 and May 1859,ATLANTIC OCEAN,"Atlantic Ocean, between Rio de Janeiro and Cape of Good Hope; between Valparaiso and Cape Horn","28x25,5x27,5 cm ",Lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=FAA24C38,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 145.

C. Linnaeus, Systema Naturae, Holmiae [Stockholm], Impensis Direct. Laurentii Salvii, 1758-1759, ed. 10, 2 vols., vol. I, p. 132.",good,,"-31.666667, -12.683333","31°40'00.0""S 12°41'00.0""W","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, A. Pelzeln, ""Vögel"":""Atlantic Ocean, between Rio Janeiro and Cape of Good Hope, Pacific Ocean between Valparaiso and Cape Horn.

Male (127), caught on 5 September 1857 at 30° 2' s. B. and 27° 52' w. L. Maroon iris. Whole length 14"", flight distance 2' 8 1/2"".
Female (132) shot by Baron Wüllerstörf on 11 September 1857 at 31° 40' S. Lat. and 12° 41' W. Long. Maroon iris.
Male (137) shot on the same day and at the same place.
Female (138) on 15 September 1857 at 33° 49' S. Lat. and 0° 39' W. Long.
Female (134) shot by Baron Wüllerstorf on the same day and at the same location.
Female (135) shot by Baron Wüllerstörf on 20 September 1857 at 36° 22' S. Lat. and 5° 29' E. Long.
One specimen (856) captured by Mr. Zelebor on 12 May 1859 at 32° 27' S. Lat. and 74° 13' W. Long.
One specimen (857) on 24 May 1859 at 53° 6' S. Lat. and 80° 43' W. Long. Zlb. [Zelebor].",,-31.666667,-12.683333
Cape shoveler/Mestolone del Capo,A3019,https://globalsearoutes.net/wp-content/uploads/2024/05/A-03019a.jpg,"Anas smithii Hartert, EJO 1891",Anas capensis  Gould,2-26 October 1857,CAPE COLONY,"Cape of Good Hope, South Africa ",21x26x12 cm,Lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=4670CF43,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 138

E. Hartet, Katalog der Vogelsammlung in Museum der Senckenbergischen Naturforschenden Gesellschaft in Frankfurt am Main. Abgeschlossen Mitte Januar 1891, Frankfurt a. M, Druck von Gebrüder Kuaner, 1891, p. 231",good ,,"-33.964167, 18.439750","33°57'51.0""S 18°26'23.1""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, A. Pelzeln, ""Vögel"": ""A male specimen was killed in a salt marsh on Mr Hoet's Simons Bay property. Less common there than Thalassiornis leuconutus. Zelebor"" (p. 138).",,-33.964167,18.43975
Cape Teal/Anatra del Capo,A3021,https://globalsearoutes.net/wp-content/uploads/2024/04/A-03021.jpg,"Anas capensis (Gmelin, JF 1789",Anas capensis Gmel.,2-26 October 1857,CAPE COLONY,Cape of Good Hope,29x25x27 cm,Lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=25DA0F41,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 138.

J. F. Gmelin (ed. by), Systema Naturae per regna tria naturae, etc., Lipsiae [Leipzig], impensis Georg. Emanuel. Beer, 1788-1793, ed. 13, 3 vols., vol. I, pt. 2, p. 527.",good,gsa3021-8a9eba5f0439d2cf9c70a29763a7a90f/,"-34.199556, 18.435722","34°11'58.4""S 18°26'08.6""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, A. Pelzeln, ""Vögel"": ""A male specimen was shot in a saltwater marsh on a Mr Hoet's property in Simons Bay. Rarer than Thalassiornis leuconotus. Zlbr. [Zelebor]"" (p. 138).",,-34.199556,18.435722
Chilean pigeon/Piccione del Cile,A3231,https://globalsearoutes.net/wp-content/uploads/2024/05/A-03231-1.jpg,"Patagioenas araucana (Lesson, RP; Garnot, P 1827)",Colomba araucana Less,April - May 1859,SANTIAGO (CHILE),"Santiago, Chile ",26x19x18 cm ,lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=2BD38691,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 108
",good ,,"-33.437833, -70.650333","33°26'16.2""S 70°39'01.2""W","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, A. Pelzeln, ""Vögel"":

""COLOMBA ARAUCANA Less

Chloroenas denisea Bonap. Consp. II, 51

Cile, Santiago (Dr. Segeth)"" (p. 108)",,-33.437833,-70.650333
Chimango Caracara/Caracara chimango,A3948,https://globalsearoutes.net/wp-content/uploads/2024/06/A-03948-1.jpg,"Milvago chimango Vieillot, LJP",Milvago chimango  Vieillot,April - May 1859,VALPARAISO (CHILE),"Valparaiso, Chile ",36x11x9 cm,lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=919D7CD8,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 6

Nouveau dictionnaire d'histoire naturelle, appliquée aux arts, à l'agriculture, à l'économie rurale et domestique, à la médecine, etc., Paris, Chez Deterville, 1816-1819, ed. 14, 36 vols., vol. XIV, p. 260",good,,"44.314833, 9.320917","44°18'53.4""N 9°19'15.3""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, A. Pelzeln, ""Vögel"":

""In addition to two birds, an egg of this species was also sent. The latter is finely mottled reddish-brown with only a few larger spots of the latter colour towards the opaque end. The colouration of this egg is very reminiscent of that of some eggs of Tinnunculus alaudarius, a similarity already pointed out by Orbigny (Voyage Amer. Mer. 62)"" (p. 6)",,44.314833,9.320917
Collared Kingfisher (occipitalis)/Martin pescatore dal collare,A1315,https://globalsearoutes.net/wp-content/uploads/2024/07/A-01315.jpg,"Todiramphus chloris occipitalis Blyth, E 1846",Halcyon occipitalis  (Blyh),February – March 1858,NICOBAR ISLANDS,"Kar Nicobar, forest near the village of Itöe, Nicobar Islands",44x29x13 cm,lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=ACFDEF35,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 160

Blyth Edward, Notices and Descriptions of Various New or Little Known Species of Birds in ""The journal of the Asiatic Society of Bengal"", Calcutta, Bishop's College Press, vol. 15, p. 23",good ,,"9.167000, 92.750000","

9°10'01.2""N 92°45'00.0""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, A. Pelzeln, ""Vögel"":

""A male killed in February on the island of Kar Nicobar. It was 10‘ long, the flight distance was 15 ½’. The cry is similar to that of our average woodpecker. The Nicobars call this bird Sakazr. On all the islands not infrequently. On 7 March a female was found by Wüllerstorf in the woods near the village of Itöe in Nangkauri harbour. There are also two other females and a male shot by Wüllerstorf and kept in the bellow. Zelebor"". (p. 160)",,9.167,92.75
Common hill myna/Gracula religiosa,A3840,https://globalsearoutes.net/wp-content/uploads/2024/05/A-03840.jpg,"Gracula religiosa religiosa  Linnaeus, C 1758",Gracula Javana  (Cuv.),March 1858,NICOBAR ISLANDS,"Nicobar Islands, Java, Malacca Village, Pulo Milu Forest, Nangkauri Forest",not specified,lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=5CF6F8EB,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 88

C. von Linnè, Systema Naturae per Regna Tria Naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis,Holmiae, Imprensis Laurentii Salvii, 1758, p. 108",good ,,"9.170611, 92.818750","9°10'14.2""N 92°49'07.5""E","A female was delivered alive in March to Baron Wullerstorf from the village of Malacca. Iris light brown, beak light vermilion red, ochre yellow at extremity. Lobes of the head already light ochre yellow. Claws slate-black, whitish at base. Length 12 ½"", flight distance 21 ½"" . A male was killed on 17 March in the forest of Pulo Milu. When the stomach was opened, plant remains and seeds were found. A male was also received from the Nangkauri forest."" (p.88)",,9.170611,92.81875
Common moorhen/Gallinella d'acqua,A3922,https://globalsearoutes.net/wp-content/uploads/2024/05/A-03922.jpg,"Gallinula chloropus (Linnaeus, C 1758)",gallinula chloropus (Linné),20th June 1858,MANILA,Manila ,27x7x6 cm ,lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=0D8E9291,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 135 

C. von Linnè, Systema Naturae per Regna Tria Naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis,Holmiae, Imprensis Laurentii Salvii, 1758, p. 152",good,,"14.383333, 121.250000","14°23'00.0""N 121°15'00.0""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, A. Pelzeln, ""Vögel"":

""Captured by B. Wüllerstorf on 20 June on the marshy shore of Laguna de Bai near Los Baños. Iris cherry red. Frontal lobe and beak scarlet, the latter lemon-yellow at the extremities. Legs yellow-greenish-grey, turning brown towards the nails. Claws light brown. A very young bird of this species has been preserved in alcohol. Zelebor."" (p.135)",,14.383333,121.25
Common slug eater/Mangiatore di lumache comune,E1504,https://globalsearoutes.net/wp-content/uploads/2024/05/E-1504.jpg,"Duberria iutrix (Linnaeus, 1758)",Homalosoma lutrix spec. Linn.,2-26 October 1857,CAPE COLONY,"Cape of Good Hope, South Africa",ø 5.5x19.5 cm ,lower risk,https://reptile-database.reptarium.cz/species?genus=Duberria&species=lutrix,Zoology,Reptiles,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, F. Steindachner, ""Reptilien"", p. 59

C. Linnaeus, Systema naturæ per regna tria naturæ, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis, tomus I, editio decima, reformata, Laurentii Salvii, Holmiæ, p. 216",good,,"-33.964167, 18.439750","33°57'51.0""S 18°26'23.1""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, 1. Band: Wirbelthiere, F. Steindachner, ""Reptilien"":

""HOMALOSOMA LUTRIX spee. Linn.
Sin. Coluber lutrix Linné, Syst. Nat. I, p. 375 (Ed. 12). Elaps duberria Schneid. Hist. Amph. Fasc. II, p. 297. Coluber arctiventris Merrem, Tent. Syst. Amph. p. 100. Homalosoma arctiventris Wagler, Syst. Amph. p. 191. Coluber lutrix Shaw, Latr. Daud. fig. 24-26. Calamaria arctiventris Schleg. Ess. Phys. Serp. t. I, p. 131, t. II, p. 36; pl. I, Homalosoma lutrix Dum. Bibr., Erpét. gén. t. VII, p. 110; Günther, Catal. Colubr. Snak. p. 20; Jan, Enum. Syst. delle Calam. p. 33. Icon. gén. Oph. Lier. 13, pl. III, fig. 3. I Homalosoma arctiventre Fitz., Ausb. p. 406"". (p.59)",,-33.964167,18.43975
Dimorphic Egret/Garzetta,A3073,https://globalsearoutes.net/wp-content/uploads/2024/04/A-03073.jpg,"Egretta garzetta (Linnaeus, C 1766)",Ardea candidissima Gmel.,April - May 1859,VALPARAISO (CHILE),"Probably Valparaiso, Chile ",26x42x22 cm,Lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=F2858F9F,Zoology ,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 118

C. Linnaeus, Systema Naturae, Holmiae [Stockholm], Impensis Direct. Laurentii Salvii, 1766-1768, ed. 12, 3 vols., vol. I, pt. 1, p. 237",good,gsa3073-7cb9caf8788423f7862ef9a4ae6f4459/,"44.314833, 9.320917","44°18'53.4""N 9°19'15.3""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, 1. Band: Wirbelthiere, A. Pelzeln, ""Vögel"":
""The iris of a female shot by B. Wüllerstorf was light orange-yellow. Length 22"", wingspan 29"""" (p. 118).",,44.314833,9.320917
Fulmar Prion/Prione fatato,A4072,https://globalsearoutes.net/wp-content/uploads/2024/06/A-04072.jpg,"Pachyptila turtur (Kuhl, 1820)",Prion Turtur,20th September 1857,ATLANTIC OCEAN,"Atlantic Ocean, not far from the Cape, 36° 22' South latitude and 5° 29' West longitude",26x8x6 cm,lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=6696BE1A,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 147

H. Kuhl, Beiträge zur Zoologie und vergleichenden Anatomie, Frankfurt am Main, Verlag der Hermannschen Buchhandlung, 1820, p. 143",good,,"-6.366667, -5.483333","6°22'00.0""S 5°29'00.0""W","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, A. Pelzeln, ""Vögel"":

""Atlantic Ocean, not far from the Cape
An individual killed on 20 September 1857 at 36° 22' south latitude and 5° 29' west longitude by Baron Wüllerstorf. Total length 8"", flight distance 23"". Weight 8 ½ ounces (?) - As only one wing of this bird was down, it swam for a while behind the frigate until it could be reached by lifeboat. As he swam, the cape pigeons pecked him so hard on the head with their beaks that some feathers were missing. Zelebor."" (p. 147)",,-6.366667,-5.483333
Golden-breasted Woodpecker/Picchio barrato verde,A0162,https://globalsearoutes.net/wp-content/uploads/2024/04/A-00162.jpg,"Colaptes melanochloros (Gmelin, JF 1788)",Colaptes chilensis (Less. et Garn.),April - May 1859,VALPARAISO (CHILE),"Valparaiso, Chile ",19x24x17 cm,Lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=9D957919,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 101.

J. F. Gmelin (ed. by), Systema Naturae per regna tria naturae, etc., Lipsiae [Leipzig], impensis Georg. Emanuel. Beer, 1788-1793, ed. 13, 3 vols., vol. I, pt. 1, p. 427

Voyage autour du monde : exécuté par ordre du roi, sur la corvette de Sa Majesté, la Coquille, pendant les années 1822, 1823, 1824, et 1825, Paris, Arthus Bertrand, Libraire-Éditeur, 1825-1830, R. P. Lesson - P. Garnot, ""Vol. V. Histoire naturelle, Zoologie. Atlas"", voll. 1-2, pl. 32..",good,gsa162-26602d3ee1380252b91d9953396e8ae9/,"44.314833, 9.320917","44°18'53.4""N 9°19'15.3""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, 1. Band: Wirbelthiere, A. Pelzeln, ""Vögel"":

""COLAPTES CHILENSIS (Less et Garn.) 
Chile (Dr. Segeth)",,44.314833,9.320917
Great-billed or margaretta's Hermit/Colibrì del sole beccogrande,A2166,https://globalsearoutes.net/wp-content/uploads/2024/04/A-02166.jpg,"Phaethornis malaris (Nordmann, AD 1835)",Oreotrochilus leucopleurus (Gould),Unknown,SANTIAGO (CHILE),Chile,9x10.5x14.5 cm,Lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=97C2A2A4,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 54.

J. Gould, A Monograph of the Trochilidæ, or family of humming-birds, London, Printed by Taylor and Francis, 1849-1861, 5 vols., vol. II, pl. 71 et seq.

G. A. Erman, Reise um die Erde durch Nord-Asien und die beiden Oceane, in der Jahren 1828, 1829 un 1830 ausgeführt. Naturistoricher Atlas, Berlin, G. Reimer, 1835, A. von Nordmann, ""I. Vögel"", p. 2, pl. 16..",good,gsa2166-2ecb67314c09295dd7d5e02f4f1a7db1/,"44.314833, 9.320917","44°18'53.4""N 9°19'15.3""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, 1. Band: Wirbelthiere, A. Pelzeln, ""Vögel"": ""Chile (Dr.Segeth)"" (p.54)",,44.314833,9.320917
Green honeycreeper/Meliero verde,A3363,https://globalsearoutes.net/wp-content/uploads/2024/05/A-03363.jpg,"Chlorophanes spiza  (Linnaeus, C 1758)",unknown,unknown,RIO DE JANEIRO,Rio de Janeiro,"9x15,5x9,5 cm",lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=64E4030B,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"C. von Linnè, Systema Naturae per Regna Tria Naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis,Holmiae, Imprensis Laurentii Salvii, 1758, p. 1888",,,"-22.951889, -43.211111","22°57'06.8""S 43°12'40.0""W","It was not possible to identify this specimen within the Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"".","Since the exact location of the find is not known, the location was assumed based on the animal's range and the routes taken from the travel report. ",-22.951889,-43.211111
Green Kingfisher/Martin pescatore verde,A3353,https://globalsearoutes.net/wp-content/uploads/2024/04/A-03353a.jpg,"Chloroceryle americana americana (Gmelin, JF 1788)",unknown,unknown,RIO DE JANEIRO,Probably Brazil ,11x13x16 cm,Lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=EABB7D51,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"J. F. Gmelin (ed. by), Systema Naturae per regna tria naturae, etc., Lipsiae [Leipzig], impensis Georg. Emanuel. Beer, 1788-1793, ed. 13, 3 vols., vol. I, pt. 1, p. 451",good ,gsa3353-31ccbfb2e219ff7c9569c45e3c6cf46c/,"-22.959444, -43.277778",22°57′34″S 43°16′40″W,"It was not possible to identify this specimen within the Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"".","Since the exact location of the find is not known, the location was assumed based on the animal's range and the routes taken from the travel report. ",-22.959444,-43.277778
Green-backed Firecrown/Capo di fuoco dorsoverde,A2270,https://globalsearoutes.net/wp-content/uploads/2024/04/A-02270.jpg,"Sephanoides sephaniodes Kleinschmidt, A 1970",Eustephanus galeritus (Molina),April - May 1859,VALPARAISO (CHILE),"Valparaiso, Chile ",9x8.5x13.5 cm,Lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=62C40901,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 54.

J. I. Molina, Saggio sulla storia naturale del Chili, Bologna : Nella Stamperia di S. Tommaso d'Aquino, 1782, p. 247, 343..",good,gsa2270-165c15ab1c62dc80b88ec6240d084f40/,"44.314833, 9.320917","44°18'53.4""N 9°19'15.3""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, 1. Band: Wirbelthiere, A. Pelzeln, ""Vögel"":""This species roams around the parasitic plants that are very often found on the poplars planted around Santiago. Zlbr. [Zelebor]. The expedition collected three birds, a nest and an egg"" (p. 54).",,44.314833,9.320917
Grey-breasted Seedsnipe/Tinocoride petto grigio,A1595,https://globalsearoutes.net/wp-content/uploads/2024/04/A-01595.jpg,"Thinocorus orbignyianus ingae Tschudi, JJ 1843",Thinocorus ingae Tschudi,April - May 1859,VALPARAISO (CHILE),"Valparaiso, Chile ","18x15x20,5 cm ",Lower risk,https://avibase.bsc-eoc.org/species.jsp?avibaseid=4EE0D62D,Zoology,Birds,Civico Museo di Storia Naturale di Trieste,"Reise der österreichischen Fregatte Novara um die Erde: in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil, 1. Band: Wirbelthiere, Wien, Aus der Kaiserlich-Königlichen Hof- und Staatsdruckerei, 1869, A. Pelzeln, ""Vögel"", p. 113.

J. J. Tschudi, ""Diagnosen einiger neuer peruanischer Vögel"" in Archiv für Naturgeschichte, Berlin, Nicolai, 1835-, Jahrg. 9 (1843), 2 vols., vol. I, p. 387.",good,gsa595-5550254136090389e26211cae871a2e8/,"44.314833, 9.320917","44°18'53.4""N 9°19'15.3""E","From the Reise der österreichischen Fregatte Novara [...] Zoologischer Theil, 1. Band: Wirbelthiere, A. Pelzeln, ""Vögel"":

""THINCORUS INGAE Tschudi
Chile (Dr. Segeth)""",,44.314833,9.320917
